Talento_TI_20250919[CONVENIO];Talento_TI_20250919[CONVOCATORIA];Talento_TI_20250919[ANIO];Talento_TI_20250919[CODIGO DEPARTAMENTO];Talento_TI_20250919[DEPARTAMENTO DE RESIDENCIA];Talento_TI_20250919[CODIGO DEL MUNICIPIO];Talento_TI_20250919[CIUDAD DE RESIDENCIA];Talento_TI_20250919[ESTRATO];Talento_TI_20250919[GENERO];Talento_TI_20250919[NIVEL DE PROGRAMA];Talento_TI_20250919[CODIGO DEPARTAMENTO IE];Talento_TI_20250919[DEPARTAMENTO IE];Talento_TI_20250919[CODIGO CIUDAD IE];Talento_TI_20250919[CIUDAD IE];Talento_TI_20250919[NOMBRE IE];Talento_TI_20250919[CODIGO IE];Talento_TI_20250919[PROGRAMA ACADEMICO];Talento_TI_20250919[TIPO PROGRAMA];Talento_TI_20250919[MONTO COMPROMETIDO];Talento_TI_20250919[MODALIDAD PROGRAMA];Talento_TI_20250919[META];Talento_TI_20250919[FECHA ACTUALIZACION];Talento_TI_20250919[CODIGO MUNICIPIO RESIDENCIA];Talento_TI_20250919[CODIGO MUNICIPIO IE];Talento_TI_20250919[FECHA VIGENCIA];Talento_TI_20250919[INDICE];Talento_TI_20250919[MES DE CONVOCATORIA];Talento_TI_20250919[MES DE VIGENCIA];Talento_TI_20250919[MONTO PER CAPITA];Talento_TI_20250919[Z SCORE DEL MONTO COMPROMETIDO];Talento_TI_20250919[Z SCORE DEL MONTO PER CAPITA];Talento_TI_20250919[RANKING POR MONTO COMPROMETIDO];Talento_TI_20250919[RANKING POR MONTO PER CAPITA]
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18231;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18255;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18315;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18373;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18396;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18431;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18459;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18655;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18659;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;19143;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;19179;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;19273;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;19363;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;19621;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;19622;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;19624;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;19863;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20172;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20224;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20360;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20373;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20455;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20463;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20472;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20524;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20662;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20669;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20702;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20818;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;20919;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21002;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21020;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21062;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21063;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21065;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21097;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21116;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21184;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21185;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21290;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;21332;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
